Country,Region/Zone,lon,lat,Type of Disease,Target Disease condition,Digitization style,Year(s),Doi/comment,
Morocco,Zagora province (2005),-5.86793,30.301,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2005,https://doi.org/10.3390/microorganisms10122391,
Morocco,Zagora province (2017),-5.11778,30.67239,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2017,,
Morocco,Errachidia Province (2012–2017),-4.435,31.91806,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2012–2017,,
Morocco,Errachidia (Urban),-4.43218,31.92952,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2004–2013,,
Morocco,Errachidia (Rural),-4.26778,31.85028,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2004–2013,,
Morocco,Errachidia (1990–2009),-4.432,31.92944,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1990–2009,,
Morocco,Errachidia (2012–2020),-4.43278,31.92999,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2012–2020,,
Morocco,Ouarzazate province,-6.91944,30.93306,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2002–2009,,
Algeria,El Hodna (range midpoint),4.675,35.4,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1995–2000,,
Algeria,Saida,0.14561,34.84152,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1990–2009,,
Tunisia,"Bir Badr, Hichria, Zefzef (Sidi Bouzid)",9.37694,34.8125,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2009–2015,, 
Tunisia,"R’milia, Sidi Bouzid (1995)",9.6,35.76667,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1995,,
Tunisia,"R’milia, Sidi Bouzid (1996)",9.6,35.76667,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1996,,
Tunisia,"R’milia, Sidi Bouzid (1997)",9.6,35.76667,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1997,,
Tunisia,Sidi Bouzid (1991–2007),9.5,35.03333,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1991–2007,,
Tunisia,"Village of Felta, Sidi Bouzid",8.7025,34.82417,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2004–2005,,
Tunisia,Central Tunisia,9.37694,34.8125,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2009–2014,,
Morocco,Morocco,-2.769439109,34.54821297,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,https://doi.org/10.1051/parasite/2014014,
Morocco,Morocco,-2.260189228,34.30377303,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-2.402779194,34.60932296,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-2.565739156,34.26303304,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-2.708329123,33.36675325,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-2.93239907,33.06120332,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-3.339798975,33.24453328,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-3.808308866,33.16305329,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-4.541628694,32.83713337,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-3.930528837,32.51121345,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-3.523128932,32.10381354,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-4.358298737,31.37049371,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-4.256448761,31.37049371,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-4.21570877,32.00196357,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-4.582368685,32.02233356,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-4.745328646,31.45197369,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-5.397168494,30.71865387,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-5.07124857,31.02420379,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-5.621238442,31.16679376,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-6.456408246,30.00570403,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-6.130488323,30.39273394,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-6.553165724,30.39273394,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-6.461500745,30.5760639,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-6.262893292,30.90198382,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-6.583720717,31.07003628,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-6.90964064,31.0140188,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.245745562,31.10059128,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.525832996,31.13623877,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.388335528,30.93763131,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.245745562,30.5556939,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.418890521,30.39782644,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.546202991,30.49967642,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
