Country,Region/Zone,lon,lat,Type of Disease,Target Disease,,Year(s),Doi,
Morocco,Zagora province (2005),-5.86793,30.301,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2005,https://doi.org/10.3390/microorganisms10122391,
Morocco,Zagora province (2017),-5.11778,30.67239,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2017,,
Morocco,Errachidia Province (2012–2017),-4.435,31.91806,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2012–2017,,
Morocco,Errachidia (Urban),-4.43218,31.92952,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2004–2013,,
Morocco,Errachidia (Rural),-4.26778,31.85028,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2004–2013,,
Morocco,Errachidia (1990–2009),-4.432,31.92944,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1990–2009,,
Morocco,Errachidia (2012–2020),-4.43278,31.92999,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2012–2020,,
Morocco,Ouarzazate province,-6.91944,30.93306,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2002–2009,,
Algeria,El Hodna (range midpoint),4.675,35.4,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1995–2000,,
Algeria,Saida,0.14561,34.84152,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1990–2009,,
Tunisia,"Bir Badr, Hichria, Zefzef (Sidi Bouzid)",9.37694,34.8125,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2009–2015,, 
Tunisia,"R’milia, Sidi Bouzid (1995)",9.6,35.76667,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1995,,
Tunisia,"R’milia, Sidi Bouzid (1996)",9.6,35.76667,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1996,,
Tunisia,"R’milia, Sidi Bouzid (1997)",9.6,35.76667,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1997,,
Tunisia,Sidi Bouzid (1991–2007),9.5,35.03333,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,1991–2007,,
Tunisia,"Village of Felta, Sidi Bouzid",8.7025,34.82417,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2004–2005,,
Tunisia,Central Tunisia,9.37694,34.8125,zoonotic cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2009–2014,,
Algeria,Ain Oussera,2.9,35.451,Cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2006 - 2021,https://doi.org/10.3390/microorganisms11102608,
Algeria,Hassi Bahbah,3.06,35.0647,Cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2006 - 2021,,
Algeria,Djelfa,3.25,34.67,Cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2006 - 2021,,
Algeria,Messaad,3.66667,34.15,Cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2006 - 2021,,
Algeria,Guettara,2.9,33.75,Cutaneous leishmaniasis,Cutaneous leishmaniasis,point data,2006 - 2021,,
Morocco,Morroco 1.2.1,-8.740615225,31.54535185,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,https://doi.org/10.1051/parasite/2014014,
Morocco,Morroco 1.2.1,-8.648341578,31.56912311,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.618298996,31.67875807,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.517441754,31.6915404,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.435897601,31.6915404,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.337186258,31.66962676,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.227745421,31.68788848,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.144055369,31.67510565,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.103283292,31.65684141,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.114012786,31.54718063,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.114012786,31.50328017,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.114012786,31.40076561,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.116158685,31.36779068,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.10757509,31.33663707,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.133325875,31.32930531,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.165514356,31.32747228,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.165514356,31.30180612,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.161222559,31.2596251,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.161222559,31.24678366,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.199848737,31.21559002,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.234183117,31.20274259,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.225599522,31.1770425,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
